id	description	category	book	chapter
EV001	Character arrives at new location	Character Movement	Sample Novel	1
EV002	Weather event occurs	Environmental	Sample Novel	1
EV003	Character meets another character	Character Interaction	Sample Novel	1
EV004	Time announcement	Temporal Marker	Sample Novel	1
EV005	Hidden passage discovered	Discovery	Sample Novel	2
EV006	Secret documents found	Discovery	Sample Novel	2
EV007	Historical information revealed	Information	Sample Novel	2
EV008	Confrontation between characters	Conflict	Sample Novel	3
EV009	Evidence presented	Revelation	Sample Novel	3
EV010	Mysterious sound heard	Mystery	Sample Novel	3
EV011	Authority figure arrives	Character Introduction	Sample Novel	4
EV012	Truth revealed	Resolution	Sample Novel	4
EV013	Character makes decision	Decision	Sample Novel	4